2019-05-14 08:52:53,245 DEBUG [SpringJUnit4ClassRunner]  - SpringJUnit4ClassRunner constructor called with [class pl.tau.boardgame.service.FigureManagerTest]
2019-05-14 08:52:54,077 DEBUG [BasicTypeRegistry]  - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@1e4f4a5c
2019-05-14 08:52:54,077 DEBUG [BasicTypeRegistry]  - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@23941fb4
2019-05-14 08:52:54,078 DEBUG [BasicTypeRegistry]  - Adding type registration url -> org.hibernate.type.UrlType@1f9f6368
2019-05-14 08:52:54,078 DEBUG [BasicTypeRegistry]  - Adding type registration java.net.URL -> org.hibernate.type.UrlType@1f9f6368
2019-05-14 08:52:54,080 DEBUG [BasicTypeRegistry]  - Adding type registration date -> org.hibernate.type.DateType@1224144a
2019-05-14 08:52:54,081 DEBUG [BasicTypeRegistry]  - Adding type registration java.sql.Date -> org.hibernate.type.DateType@1224144a
2019-05-14 08:52:54,082 DEBUG [BasicTypeRegistry]  - Adding type registration time -> org.hibernate.type.TimeType@565f390
2019-05-14 08:52:54,082 DEBUG [BasicTypeRegistry]  - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@565f390
2019-05-14 08:52:54,083 DEBUG [BasicTypeRegistry]  - Adding type registration timestamp -> org.hibernate.type.TimestampType@415b0b49
2019-05-14 08:52:54,083 DEBUG [BasicTypeRegistry]  - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@415b0b49
2019-05-14 08:52:54,083 DEBUG [BasicTypeRegistry]  - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@415b0b49
2019-05-14 08:52:54,084 DEBUG [BasicTypeRegistry]  - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@642a7222
2019-05-14 08:52:54,085 DEBUG [BasicTypeRegistry]  - Adding type registration calendar -> org.hibernate.type.CalendarType@147e2ae7
2019-05-14 08:52:54,085 DEBUG [BasicTypeRegistry]  - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@147e2ae7
2019-05-14 08:52:54,085 DEBUG [BasicTypeRegistry]  - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@147e2ae7
2019-05-14 08:52:54,086 DEBUG [BasicTypeRegistry]  - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@15d49048
2019-05-14 08:52:54,087 DEBUG [BasicTypeRegistry]  - Adding type registration locale -> org.hibernate.type.LocaleType@17503f6b
2019-05-14 08:52:54,087 DEBUG [BasicTypeRegistry]  - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@17503f6b
2019-05-14 08:52:54,088 DEBUG [BasicTypeRegistry]  - Adding type registration currency -> org.hibernate.type.CurrencyType@730d2164
2019-05-14 08:52:54,088 DEBUG [BasicTypeRegistry]  - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@730d2164
2019-05-14 08:52:54,088 DEBUG [BasicTypeRegistry]  - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4ee203eb
2019-05-14 08:52:54,088 DEBUG [BasicTypeRegistry]  - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4ee203eb
2019-05-14 08:52:54,089 DEBUG [BasicTypeRegistry]  - Adding type registration class -> org.hibernate.type.ClassType@769a1df5
2019-05-14 08:52:54,089 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@769a1df5
2019-05-14 08:52:54,091 DEBUG [BasicTypeRegistry]  - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@50029372
2019-05-14 08:52:54,091 DEBUG [BasicTypeRegistry]  - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@50029372
2019-05-14 08:52:54,092 DEBUG [BasicTypeRegistry]  - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@6cc4cdb9
2019-05-14 08:52:54,092 DEBUG [BasicTypeRegistry]  - Adding type registration binary -> org.hibernate.type.BinaryType@32115b28
2019-05-14 08:52:54,093 DEBUG [BasicTypeRegistry]  - Adding type registration byte[] -> org.hibernate.type.BinaryType@32115b28
2019-05-14 08:52:54,093 DEBUG [BasicTypeRegistry]  - Adding type registration [B -> org.hibernate.type.BinaryType@32115b28
2019-05-14 08:52:54,093 DEBUG [BasicTypeRegistry]  - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@4b8729ff
2019-05-14 08:52:54,094 DEBUG [BasicTypeRegistry]  - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@4b8729ff
2019-05-14 08:52:54,094 DEBUG [BasicTypeRegistry]  - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@4b8729ff
2019-05-14 08:52:54,095 DEBUG [BasicTypeRegistry]  - Adding type registration row_version -> org.hibernate.type.RowVersionType@74287ea3
2019-05-14 08:52:54,095 DEBUG [BasicTypeRegistry]  - Adding type registration image -> org.hibernate.type.ImageType@2f01783a
2019-05-14 08:52:54,096 DEBUG [BasicTypeRegistry]  - Adding type registration characters -> org.hibernate.type.CharArrayType@7ac296f6
2019-05-14 08:52:54,096 DEBUG [BasicTypeRegistry]  - Adding type registration char[] -> org.hibernate.type.CharArrayType@7ac296f6
2019-05-14 08:52:54,096 DEBUG [BasicTypeRegistry]  - Adding type registration [C -> org.hibernate.type.CharArrayType@7ac296f6
2019-05-14 08:52:54,097 DEBUG [BasicTypeRegistry]  - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@54e041a4
2019-05-14 08:52:54,097 DEBUG [BasicTypeRegistry]  - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@54e041a4
2019-05-14 08:52:54,097 DEBUG [BasicTypeRegistry]  - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@54e041a4
2019-05-14 08:52:54,098 DEBUG [BasicTypeRegistry]  - Adding type registration text -> org.hibernate.type.TextType@238d68ff
2019-05-14 08:52:54,098 DEBUG [BasicTypeRegistry]  - Adding type registration ntext -> org.hibernate.type.NTextType@76b07f29
2019-05-14 08:52:54,102 DEBUG [BasicTypeRegistry]  - Adding type registration blob -> org.hibernate.type.BlobType@264f218
2019-05-14 08:52:54,102 DEBUG [BasicTypeRegistry]  - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@264f218
2019-05-14 08:52:54,102 DEBUG [BasicTypeRegistry]  - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@2e570ded
2019-05-14 08:52:54,107 DEBUG [BasicTypeRegistry]  - Adding type registration clob -> org.hibernate.type.ClobType@1b410b60
2019-05-14 08:52:54,108 DEBUG [BasicTypeRegistry]  - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@1b410b60
2019-05-14 08:52:54,111 DEBUG [BasicTypeRegistry]  - Adding type registration nclob -> org.hibernate.type.NClobType@57a3e26a
2019-05-14 08:52:54,111 DEBUG [BasicTypeRegistry]  - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@57a3e26a
2019-05-14 08:52:54,111 DEBUG [BasicTypeRegistry]  - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@2dc9b0f5
2019-05-14 08:52:54,112 DEBUG [BasicTypeRegistry]  - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@5e17553a
2019-05-14 08:52:54,113 DEBUG [BasicTypeRegistry]  - Adding type registration serializable -> org.hibernate.type.SerializableType@27912e3
2019-05-14 08:52:54,116 DEBUG [BasicTypeRegistry]  - Adding type registration object -> org.hibernate.type.ObjectType@15a04efb
2019-05-14 08:52:54,116 DEBUG [BasicTypeRegistry]  - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@15a04efb
2019-05-14 08:52:54,116 DEBUG [BasicTypeRegistry]  - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@31edaa7d
2019-05-14 08:52:54,117 DEBUG [BasicTypeRegistry]  - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@26adfd2d
2019-05-14 08:52:54,117 DEBUG [BasicTypeRegistry]  - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@3336e6b6
2019-05-14 08:52:54,117 DEBUG [BasicTypeRegistry]  - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@7c3fdb62
2019-05-14 08:52:54,117 DEBUG [BasicTypeRegistry]  - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@205d38da
2019-05-14 08:52:54,117 DEBUG [BasicTypeRegistry]  - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@6950ed69
2019-05-14 08:52:54,117 DEBUG [BasicTypeRegistry]  - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6dd7b5a3
2019-05-14 08:52:54,117 DEBUG [BasicTypeRegistry]  - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@6f3187b0
2019-05-14 08:52:54,128 DEBUG [DriverManagerDataSource]  - Creating new JDBC DriverManager Connection to [jdbc:hsqldb:hsql://localhost/workdb]
2019-05-14 08:52:54,329 DEBUG [JdbcEnvironmentInitiator]  - Database ->
       name : HSQL Database Engine
    version : 2.3.4
      major : 2
      minor : 3
2019-05-14 08:52:54,329 DEBUG [JdbcEnvironmentInitiator]  - Driver ->
       name : HSQL Database Engine Driver
    version : 2.3.4
      major : 2
      minor : 3
2019-05-14 08:52:54,329 DEBUG [JdbcEnvironmentInitiator]  - JDBC version : 4.0
2019-05-14 08:52:54,342 INFO  [Dialect]  - HHH000400: Using dialect: org.hibernate.dialect.HSQLDialect
2019-05-14 08:52:54,369 DEBUG [IdentifierHelperBuilder]  - JDBC driver metadata reported database stores quoted identifiers in neither upper, lower nor mixed case
2019-05-14 08:52:54,850 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2019-05-14 08:52:54,850 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2019-05-14 08:52:54,851 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2019-05-14 08:52:54,851 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2019-05-14 08:52:54,851 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2019-05-14 08:52:54,852 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2019-05-14 08:52:54,852 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2019-05-14 08:52:54,853 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2019-05-14 08:52:54,853 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
2019-05-14 08:52:54,854 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2019-05-14 08:52:54,854 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2019-05-14 08:52:54,854 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
2019-05-14 08:52:54,855 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2019-05-14 08:52:54,855 DEBUG [DefaultIdentifierGeneratorFactory]  - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
